hex_values,target_values
b'017c0e011b0c0f600000002000000018000000000000005c00448d0b8e0a8f09460ec0017acfcecd0e600000a72800005840f09898dff09407f4070700000000',s390
b'7c0e011b0c0f60000000380000001800000000000003300044861287118810890f8a0e8b0d8c0c8d0b8e0a8f09460ec8010302460acfcecdcccbcac9c8c7c60e',s390
b'0000b400448c0c8d0b8e0a8f09460ec0010282cfcecdcc0e600000100058203000502010005820d0965850d092a70800f758202000502010005820d08ea74800',s390
b'f4295f3f4f3595279535952795359527956b897c89260f371f232b01f400c000c00d2d20e234e26e2d7f2d80e090e000d00e2d1f2d2a2d3b2d4e2d5f2d682f79',avr
b'2210003ea618005ea6fbff1f2200007da700405b6b0000ba270000bd230000092800005ea708003ea52000de230180fa6b0000bb270000bd23f0ffde2300005e',alphaev56
b'2701e002002d0a3d0b410000c10000d10000a827b837e004004d0a5d0b610000cd04dd05ad02bd03e006002d0a3d0b41000040421049473957210000c10000d1',xtensa
b'8093000080910000909100009093000080930000809100009091000090930000809300008cee91e2909300008093000090930000809300009093000080930000',avr
b'2c0000001800000000000002880044890f8a0e8b0d8c0c8d0b8e0a8f09460ec00103021ecfcecdcccbcac90e60200050102000a71800ff50102000a718005a50',s390
b'1840000000913a2018051511468410a20d80a20002148000038610200186102000033ffffb821063448200c00180a060001280000680a6200022800005901020',sparc
b'42d98063906242d0097342dafe7202673c63a06540d641d409a02c6209711c6b58252361fe715e8d1c611362b3636251ff77426b1d611821f08d336138d103e4',sh4
b'f02f8a00009001001440be00a4914900043909000c8149000838e0000e7ce903a6910a000039400000810900202f880000409e000c39400001390000014200ff',powerpc
b'5e4e754e5600002f032f02202e0008222e000c448140806c2e222e0010242e0014448240816c20203c7fffffff72ff242e001092ae00149182242e0008262e00',m68k
b'000300000007000000c600e000c6206000c0206000070000008810e000fa012004fa206000c8012008c8206000c400a000b0102000c020e00092102000941020',sparc
b'20000061b0e9ea5f240000a1b078834220000041b00100bf20000041b007005f200000a1b0e8ffdf200000a1b00000bd24000041b01104ff470000443060479f',alphaev56
b'909300008093000081e090e09093000080930000809100009091000090930000809300001f921f921f921f921f921f921f921f9280e090e09f938f9300d08db7',avr
b'aeffe2602442aeffde6014202effe2d0aeffde41eeff9e2d880c8252aeffde4aaeffde6fe652aeffe27001b0aeffe26cd43d7ca282ffc6206effa220104a8067',m68k
b'00914900004cc63182480000018001001438600000382100107c0803a64e8000203cc038863920000160c68497552a103a3929ffff7d4852145529063e80ea00',powerpc
b'81e51430dce518009ce5053003e0003081e5005081e5000081e500e081e51c30dce51e00dce5053003e0003081e51d30dce520e09ce5053003e0003081e50000',arm
b'dce5085093e5104093e504608ce53c009fe504208ce50030a0e30020a0e304e08ce504e08ce504e08ce504108ce504508ce504408ce5feffffeb7040bde80000',arm
b'ff2fe110482de908b08de214d04de214000be510100be518200be514204be2060092e8000051e30020d2e20d0000ba18201be51f0052e30a00008a14204be206',arm
b'000061b084ff7f20000061b0000042a00200e243000041b01104ff4700001d260000102200007da700405b6b0000ba270000bd230004ff4700005ea71000de23',alphaev56
b'1881e1001082e5180093e51c1093e50118a0e1201881e1001082e5be31d3e1003082e50020a0e30030a0e320009fe5feffffeb0000a0e31040bde81eff2fe100',arm
b'e9882a40ed88908d2400948c7018e0a22842340b700fe062300c90423400e94a3842ed4a3642d6ccd6c0340be54a3642d6c0340be54ad0429e403647b7c557c5',m68k
b'083cffff8430000044ac1c006324020066940000053c1000038d1400ab80d7ff0524262865000000073cffffc3303998063c0c00e48cfdb2c634000043ac0000',mipsel
b'10920000109200008091000090910000809100009091000090930000809300001092000010920000809100009091000090930000809300001f921f921f921f92',avr
b'00087d485214890a00123d400000394a0000910a00083929ffff912a00303d20000039290000812900302f890000409cffcc38e7ffff3d20000090e900003d20',powerpc
b'00a72800ff14215810d212502010005810d1fa5810100018215810d212502010005810d1f648101000891000108a1000105820d212501020005810d1f2481010',s390
b'00003929ffff5529043eb12a0000a12a000088e700003d20000090e9000080e8000490e9000038e0fff890e900008108000891090000a14a00009149000038a0',powerpc
b'1481000089c2be14000000bf14000000e80dffffff85c07526eb464863f04863ca4801f148c704cc0000000083c001eb05b80000000085c07ee183c201eb05ba',x86_64
b'222e000ce3a820006004102efffe241f4e5e4e754e56fffc202e00081d40fffe4aae000c6d18701fb0ae000c6d104280102efffe222e000ce2a020006004102e',m68k
b'5ec149c144810c80ffff000753c5488544453c008c438a464640c04502800000ffff2a014c405801ebc4540f02850000ffff70004640eba8c0c14a0067062039',m68k
b'0000023c180042241400c2af1800c0af0000023c180042241c00c2af0000023c180042242000c2af2400c0af0000023c180042242800c2af0800c0af0a000010',mipsel
b'0000672663976726639767266397ffffffffffffffffffffffffffffffffe3e2222108e2222108d400e508d00b4000e600e0264f0b0009000900080000002c00',sh4
b'0049c15bc049c02079000000002279000000002808d289d18423c00000000023c10000000052aefffc202efffcb0ae000c6dc04aae0014673220390000000022',m68k
b'c30fb605000000003c017529b80100000099f7ffbe4000000089d1d3e6833d00000000000f98c00fb6c039c67d0eb801000000eb0cb801000000eb05b8000000',x86_64
b'3ff332aa3f0100000018e4183a02000000ffffffff010000000000e1a0000081a3000081a30700e243000081a300008633000085a3000084a7000057b0000041',alphaev56
b'000008c8000000000000007400468b0d8c0c8d0b8e0a8f09440ec801420d0b025ecfcecdcccb0c0f600000000000002c000008f8000000000000005c00468b0d',s390
b'0000810000b809a819c02000b908b829c02000a908a839c02000b908c02000a9080c5be859c02000b908c02000e908c10000d10000810000a10000b9490c02e0',xtensa
b'a628fa0c090603001b88860000000c08a628f41b99a639f5210000c0200028222020741df000364100e5faff0c08860400009100008a99a20900910000c02000',xtensa
b'c7458c00000000c74590a0789c24c74594a0789c24c7459800000000c7459ca0789c24c745a0a0789c24c745a400000000c745a8a0789c24c745aca0789c2448',x86_64
b'008c6900008045000c8c48000c3c04000027bdffe03c020000000038210000302124840000ac690000ac480000afbf001cac4500000c000000000000008fbf00',mips
b'0000003039000000000a40d6e0320048c10c0200015fc049c044804c010800662442b900000000601c20390000000002800000ffff23c00000000070ff23c000',m68k
b'43ac000043ac0c00a38c21300000000043ac0000033c0800639021380000001e0300031e0300000043ac0000033c0400638c00008424000043acffff03240000',mipsel
b'77e363d4737f573d533337d88be361d4711b51182111890dd111521261ffe3136a3a2a00eb2a2b0ad2e361d47123641c55a366b36708d10b410900147ee36f26',sh4
b'3095809100009091000081709927422f532f00c0440f551f8a9502f4842f952f82279327918380838cef9fef9093000080930000909300008093000090930000',avr
b'02a708000140002006582080005820c00058c0f06458101000582020005020c00058c0d29aa7280017a70800175020c0005010c0005810b0005010c000581030',s390
b'017a5200017810011b0c0708900100001c0000001c00000000000000fc0000000002500e1002ab0e08000000000000000eb3f81e83f8010f9fc00fb6c00cf883',x86_64
b'0a0000000018000000300000000900000020a405e6ffffffffffffffffffffffffffffffffffffffffffffffff0d5b02a9f7ffffff1732e98f5d600b00090009',sh4
b'0083be001c386000024bfffb75907d000039200000993e0008480000203d200000392900008109001c38e9001890e80000394a0001994900083d200000392900',powerpc
b'00093c213000002138000000008424000040ac000040ac1c00bfaf000048ac140020ad080060ac000045ac0000000c000000001c00bf8f211000000800e00320',mipsel
b'0000bc020000000000004b00000000410e108602430d0602460c070800001c000000dc020000000000003900000000410e108602430d06740c07080000001c00',x86_64
b'9100003091000040e050e0452b01f441e050e080e090e021e030e000c03093000020930000909300008093000081e090e0909300008093000080e090e0909300',avr
b'1a5810d0ca583010005810d0c6581010008810001f18215810d0c2581010001011a71affff8810001f8a201000502030005810d0be92e41000a7f40000070700',s390
b'1005000000c220a00003000000c2006000c220a00003000000c2006000c220a00003000000c2006000c220a00092102000941020001100000040000000901220',sparc
b'f65281600242814a816ff04281122effff0a410001b3b9000000004cdf001c4e5e4e754e560000700a23c000000000602c223900000000204123d80000000023',m68k
b'00b908c020009908c02000d9080c89c020009908910000c020009809c0200099080c39c0200099087c69c020009908910000c020009908910000d10000c02000',xtensa
b'16962f00e8a62f00e9b62f01e5c62fd62fe62f224f5bd2fc7f5bd35cd49112836721517c376731128d8c370900215021517c3062237c310840084155044c3153',sh4
b'600003916800008969002e916800008169002f916800008169003391680000914800008949002491480000814900259148000081490029914800008929002d91',powerpc
b'005e9009001c90a9004893c9004c9be9005090690054994900584bfffd80a96600002f8c15f9806900444fdde8428be900513863ffff90a90018906900447d83',powerpc
b'0000019600c080e090e08330910504f02f5f3f4f1216130604f481e090e09093000080930000809100009091000090930000809300001f921f921f921f921f92',avr
b'a000c420600005000000c400a000c4206000051b1d178410a107c4206000c020600084103fffc42060000530b84c8410a1a992102000c4206000941020001100',sparc
b'0000914800003940ffff91480000394900083929003880ea000090e8000080ea000490e8000080ea000890e8000080ea000c90e8000080ea001090e8000080ea',powerpc
b'4c2c5d2c6e2c7f2c802e912e222d332d442d552d662d772d882d992de8960fb6f894debf0fbecdbfdf91cf911f910f91ff90ef90df90cf90bf90af909f908f90',avr
b'f0d01fbff8400000000100000084100008861000091080000301000000c41fbff8b0100002b210000381e8000081c3e008010000009de3bf90f03fbff8f43fbf',sparc
b'1318915810d0b2184818595830b06418215810d0ae0de118005840b0b0988fb09807f4000000000000000000000000000000ff0707070790bff02c0dd0a7faff',s390
b'6001c207a04c82187fff83290001b6103fffc807a04c8736c00486104003031fffff881063ffc207a04c85390001c207bff880a040021480002301000000c207',sparc
b'b0816e0a41eefffc23c8000000000cb9000000000000000057c049c04480b0816e0a41eefffc23c800000000700123c00000000013fc00020000000023c00000',m68k
b'000000eb134863d08b14950000000089150000000083c00183f8017ee8c7050000000033580000ba00000000eb294863c84863f2488d0c718b0c8d0000000089',x86_64
b'0400beaf21f0a003211080000c00c5af0800c2a70800c287000000000e004004000000000c00c28f000000002000422c09004010000000000800c3870c00c28f',mipsel
b'8144000022b00000e2b3ffff3f20000022b062bf3f24194e2120000022b0278f3f2497062120000022b0c7ff3f20000022b000003d2400002128000022b01104',alphaev56
b'222e000ce2a020006004302efffe4e5e4e754e560000202e000844804e5e4e754e560000202e0008d0ae000c4e5e4e754e560000202e000890ae000c4e5e4e75',m68k
b'000000d0ffbd272c00bfaf2800beaf2400b3af2000b2af1c00b1af1800b0af21f0a0033000c4af3400c5af3800c6af3c00c7af0000023c6000468c6400478c30',mipsel
b'000000000cf052807202b2806cf0700723c0000000006000019442b900000000600001102202d281d2803dbce4df1aec5280600242807201b2806ce852826002',m68k
b'81938190930000809300008481958190930000809300001f921f921f921f921f921f921f921f9280e090e09f938f9300d08db79eb70a960fb6f8949ebf0fbe8d',avr
b'00003c0200002442004ca8400006b840000910000012000000003c0200008c4200588c430000006020218fc3004400831826ac4300003c0200002442004c8843',mips
b'946300082c4300010062102a3c0300001040000cac62003827a300183c020000ac4300143c02000094420024100000063c020000246300249463000a1000ffeb',mips
b'0c91090000810a0038910900003d00bf5561084c6290a90000910900003d0000003908000038a0000080e8000490e90000a8e8000890e9000088ea001090e900',powerpc
b'681082e500c083e55cc09fe500c083e500c083e5000083e56c0092e5000083e5080092e5000083e5004083e5001083e53c109fe53c009fe5001083e5ff10a0e3',arm
b'a00000386300009107000080c6000490c9000038c0fffb90c900003cc0c7f060c65f4390c9000038c0000690c9000080ca000490c90000a8ca000890c9000038',powerpc
b'0000023c0000438c0000438c0000043c0000023ce0ffbd27000043ac21300000fa0003242138000000008424000043ac1c00bfaf0000000c000000001c00bf8f',mipsel
b'e5f30f1145fcf30f114df8f30f104df8f30f1005000000000f54c1f30f100d000000000f2ec80f97c083f00184c07556660fefc00f2e45f87a0a660fefc00f2e',x86_64
b'a9b818993892a0c10c1cb7a9010c0c0ca90c0a1cfef10000c603000000c02000d80fa80dc0aa30a90d0c1a3b99e799ec8c2a1cc999389100000c5aa909c80891',xtensa
b'ff0200587ca85311aeffff0200587ca8539091000090930000809300001f921f921f921f921f921f921f921f9280e090e09f938f9300d08db79eb70a960fb6f8',avr
b'f18f7360017302e11733f78f00e1017701e11737f78f00e312d1106210d1222111d22262222127e222210fd2226222210fd222210fd2216222210ed221622d62',sh4
b'00000000b030d2e164009fe5013083e20338a0e12338a0e1b030c2e1040081e504c081e5b030d2e1045092e544e09fe5043081e5b240c2e13c009fe50020a0e3',arm
b'008620260004202b00892024ace40008904400189044001824070005308400ff0083182a006618243c040000ad0300003c0600002403000594890004acc3001c',mips
b'e500008ce518e0d1e5004081e5ffe00ee200e08ce519e0d1e50020a0e3ffe00ee200e08ce51a10d1e50030a0e3ff1001e21c009fe500108ce5feffffeb7040bd',arm
b'20045030500058202008502050005820100050205000582010045020500048201008502050004810100aa728000050105000432040005810d29a50205000a728',s390
b'440000ac480000ac470000ac460000ac4500008c64001424630014ac4400008c6400043c050000ac4400008c640008aca0004cac4400008c64000c3405fffaac',mips
b'f62148a115204001f03f440100e14350014fa022f6414821f62148a107414001f03f440200e14300003d24000021a00100e1430100e1730100e1430100414c01',alphaev56
b'0090a900003863000090c9000038a000009109000038c00000b0ea0002a96a001c910a0018916900004cc63182480000018001001438600000382100107c0803',powerpc
b'ffff914400005529063e99280004892800043d20000080e7000090e9000038e000019149000090e9000089080004910900004cc6318248000001800100143860',powerpc
b'd000d01f92cdb7deb7809100009091000085e0e0e0f0e0ac2fbd2f119601900d928a9501f485e0ec2ffd2f3196a0e0b0e001900d928a9501f4809100008f5f80',avr
b'90e90000814a00289149000039403c14914900003940ffff91490000910900004cc63182480000018001001438600000382100107c0803a64e800020812a0008',powerpc
b'020256da0e00000000000000000001000000ffffffffccf4449dccf4449d0a007f200000e1b200003d24000061b00504e147fdff1f230000fd2400003d270100',alphaev56
b'a70800fea52000de230180fa6b0000bb270000bd23e0ffde2300005eb70800feb50f04fe470204f0470104f14710004fb014002fb014002fa021f62148090020',alphaev56
b'00084c2e18000014202e00104c2e0800000c2041d1c0222e000c202e001426014c0034022008d08224006008242e0008262e000c200222034cee003cfff04e5e',m68k
b'9300008093000024e030e030930000209300006ae27aea7093000060930000309300002093000081e090e0909300008093000043e259ed509300004093000090',avr
b'0002800000ffff4c3c0c011d0be29d2001740ce4a80a40007f23c000000000203900000000422effff20790000000020101d40ffff102effff20790000000042',m68k
b'07400010800005fa206000fa00a00010bfffe8c820400080a120002280000b84103ffdfa06e000f800a000f807000010bffffbf8274000c40920008400bfffc4',sparc
b'2d22e2252022e200208ee5005084e5082093e500c081e500c081e500c081e5000081e5000081e5002081e5bc20d3e110c093e50228a0e14228a0e1002081e500',arm
b'24000000280000008ee4744b000100000100000100000100084208422822ffe77a673c6252d665320a06fbe44d46959447061a0668322c62263300e22a311737',sh4
b'000000000000000026100000000028218e0400080c00000000000000ae0200088c4200008fbf001c8fb0001803e0000827bd002027bdffe0afbf001c0c000002',mips
b'00392a0000814a000089490004394a00019949000439400000994900053d400000394a000081090008914800004bfffff8c3e50000c3e50000c3e50000d35df9',powerpc
b'100058c0d08e5850d08aa728ffea502010005800b0005820d08650001000a7380000a718ffea5010c0000de55840f098a728000098bff08c07f4070700000000',s390
b'62222116d2222100e2222112e2222114d22221119222211092222112d22162222111d221622d622221c5e222210b40090000e0264f0b000900ff00f5bf500000',sh4
b'3c020000a44000042402fff8ace200103c0300002402fc14ac620000ac6000008d49002c8da7001c3c020000ac490000ac480000ac400000ac4c0000ac470000',mips
b'00002039000000007201b2806ce0203c000014c44e5e4e754e5600004ebaffb820390000000023c00000000042a742a74879000000004eb90000000042804e5e',m68k
b'000082b00c0081a0000082b010002120a4052340f5ff9fe401005f2000003d24000041b01104ff4700001d260000102200007da700405b6b0000ba270000bd23',alphaev56
b'000001c4206000c020600005000000c400a000c420600084102001c4206000c4206000c420600086103fffc6206000c6206000c6206000c4206000c4206000c4',sparc
b'00023c0000033c1400448c1400448c0400648c1400448c010005240000023c000044ac000045ac04006a8c0000033c00004aac0c00698c00000a3c0000033c08',mipsel
b'0000910900003d000000916a000880ca002c9085000038a0000090c9000080ca003090c9000088ca003490c9000080ca003890c9000080c800003908000090c9',powerpc
b'3c010006240000113c0000103c54001f275800a38c5c0000ad2110000024184300130060145800a3ac5000428e40002b8e000046ac3000ee8d0400ed8c0800ec',mipsel
b'000061b004006228000061b0080062200b00822c0800a22cc504a348430d83480304a344000061b00c00822c0f00622c0c004220c4048248420d624802048244',alphaev56
b'000000b900000000eb2183c001eb05b80000000083f8027ef183c201eb05ba0000000083fa017ee783c10183f9027eee41b800000000eb464863f14963d04863',x86_64
b'000023fc88841f9f000000004283603a2002d0802040d1c22003e788d083d088d08120300db00000000023c0000000005281600242817002b0816cd452826002',m68k
b'3f00081d090003813f000c7d284a145529103a7d2a4a14812900007d2a4b783d20000091490000813f000c39290001913f000c813f000c2f890002409dffbc81',powerpc
b'620079000524080065a001004224faff40180800a3270100842403008228fbff4014211000000000033c1800628c0000000001004230180062ac0000023c2000',mipsel
b'000000c02060008400a00103000000c420600003000000c400600080a0bfe802bffff5821020000300000081c3e008d00060009de3bfa07fffffe30100000003',sparc
b'45000198a4000324420000ac640000904200053c040000000216000002160327bdffe0ac6200000000382100003021248400002402ffffac620000afbf001c0c',mips
b'75f8837df8007814837df81f7f0e8b45f88b55fc89c1d3ea89d0eb038b45fc5dc3554889e5897dfc8975f8837df81f770e8b45f88b55fc89c1d3ea89d0eb038b',x86_64
b'00007da7687f5b6b0000ba270000bd2300007da700405b6b0000ba270000bd231000efb30c00e0c300003d2410004fa0421440400000212001044140000021a0',alphaev56
b'c6206000861020c2c620600007000000c600e000c62060008528a0100722f5048530a0108610e2e5c6206000c420600005000000c408a00092102000c4206000',sparc
b'820010263100012a2200061440ffd13c0200003c0300009062000424420001a06200043c020000904200042c42003a1040ffc3000020213c020000244200048c',mips
b'00b010200105000000f0206000c400a0003b000000c4206000c407600033000000c4206000c4066000ba17600007000000f8076004b81f00028410e000f82060',sparc
b'fff47202b2aefff46cc452aefff87402b4aefff86cb2202effc22d40ffc26000023a3d7cf838ffe22d7c00000000ffde2d7ce5d3bfb3ffda2d7cd06f1cb6ffec',m68k
b'42ffff3042ffffa4620008946400083c0200002484ffff2409ffe624a5ffff240cffd1240b00013084ffffa46400083c080000ac490000ac490000ac450000ac',mips
b'0f8571ffffff8b050000000083c10166890d0000000085c0750d8b0500000000e95cffffff66900fb705000000006683f8040f8549ffffff8b0500000000e93e',x86_64
b'8b839c832d833e834f8358878d819e81af81b885bf7711e020e030e040e85fe3682f792f8a2f9b2f00d0882304f010e081e08127882301f420e030e040e050e0',avr
b'f4ffffeb0030a0e3050000ea44209fe50320d2e7ff2002e23c109fe5002081e5013083e2010053e3f7ffffda24309fe5042093e520309fe5002083e50020a0e3',arm
b'bfa003000000c6086000c208600005000000c220a0000321f43e82106251b01020009210200094102000c220a00011000000400000009012200081c7e00881e8',sparc
b'0080a8002080c8002483e800088188000c816800148088001c80e8002893ea0000918a0000900a0000916a0000906a00003c600000908a00003863000090aa00',powerpc
b'b2080092c952b2cb15a09920b0b0740c0d0c1eb248009080749d0db09e930009408090b1a1000090de83d90f994a9034b47cb2810000d1000027030dc0200028',xtensa
b'3301f34313083344000062b200003d24000021a4000030b40004f0470180fa6b0000bb270000bd230e0020e60104ff471300e0c300003d24000021a00100e143',alphaev56
b'ea504030005830d0e650205000582010045020500058201008502050005820100ca71a0010502050001913a784000658201000a7f4ffeb5830d0e25820d0de58',s390
b'e08c31910504f4211100c080e090e000c0409100005091000040910000509100004091000050910000069600c08c2f9d2f019626ef2093000091838083109200',avr
b'001605000200a42803160200212082004ad002242510a20000000b3c2510820001000f240100a4381c006e25ffff42301c006fad00000b3c0728a2000000aead',mipsel
b'6c6c780a000000000020a0e3751fc1e30210c1e30030a0e320009fe500408ce500108ee500108ce5feffffeb1040bde80000a0e31eff2fe10000000000000000',arm
b'00000c04a624e51b88860000000c08a638ef1b33a633f521000022020020207442a0f3d2a0f9c2a4f3bd040c0aa5f8ff7cf3a0a330310000d2130180ca23bd04',xtensa
b'0c8d0b8e0a8f09460ec00103015acfcecdcccbcac9c8c70e600000502010005810a000a71e0002a7c4002da72800afa73800008e2000201d2c5420d18e581090',s390
b'c02000b90892a0fec020009908c02000a908910000c020009908910000c20900b20901a20902b0b07480dc0100bb11a0a074d0cb2080aa11c0ba20a20903d100',xtensa
b'1c394a00049361000c9381001093c100188089000c80e90008890900108bc900133187ffff8109000c7d8c391083a900049144000083e5000081080000800900',powerpc
b'821000081080000301000000c217a0448328601083386010b010000181e8000081c3e008010000009de3bfa08410001882100019c437a044c237a048c217a048',sparc
b'00017a520004781a011b0d1e001800000018000000000000004c00000000440e10459a0249da0e000000405b6b0000ba2700005ea70004ff470000bd231000de',alphaev56
b'001e00000c00000000001902008011020021106200b955103cb90c10261000b0afb90c0724b90c06240f0005247d0004241300000c00000000213800029d0046',mipsel
b'83e50d0000ea0020a0e344309fe50020c3e5020000ea013083e234209fe50030c2e52c309fe50030d3e5020053e3f8ffff9a011081e218309fe5041083e51030',arm
b'231059000100462c102000002a1004002310e201261822012410640026104600f8ff42280d00ae105c0062adffffa3302c00e28c040018ad2c00e28c04008aa1',mipsel
b'0000043ce857023ce0ffbd270000033c2130000021380000000084242fb74234000062ac1c00bfaf0000000c000000001c00bf8f211000000800e0032000bd27',mipsel
b'228500e20221222123d223d02262222132922221626200e6222171622d622221326222210b40090000e0264f0b00f66814d714d671612093ff71218511276261',sh4
b'ff23c00000000042b90000000033fcffff000000004281307cffff6000ff4c33fcfff500000000701b23c000000000223900000000243900000000307cfff5b2',m68k
b'd1e5081063e2000052e308309415000095e20000e013ff1001e20008a0e1950101e02008a0e1feffffeb0008a0e12008a0e1000086e50cc094e528109fe50020',arm
b'9100008081882301f400c08091000090910000e0910000f091000081e090e091838083809100009091000021e030e03093000020930000109300000093000040',avr
b'2239afeb00000038589fa201000000000000000000023c340046ac0000053c2000a32486190424040064ac0000023c3800478c0000023c000047ac000046ace7',mipsel
b'21470000c72a040022b300001d26000024a3000098a30000e3b300007d24190821471600f643000024b31104ff47040022a300007da7e00c0549000010227c05',alphaev56
b'126615d116d0126216d40172222115d1322115d172261ae67267622100e67221322112d330633c63322111d330633c63322110d3322110d33263322110d33263',sh4
b'00c58f1000c48f000000002670a4000c00c58f1400c48f000000002678a4000000cc310080043c2468e4010800c48f0000000026108c000c00c48f0000000026',mipsel
b'1c00568c0000053c0100d6361c0056ac1c0042241800a2ac0000023c120050900000123cffff1026ff0010320000113c21986000120050a0140040ae21f08000',mipsel
b'ffe0308400ff24430008afbf001caca4000090640002904400083c020000308400ffac4400009064000100003821308400ffac440000906300023c0400003063',mips
b'0000209100003091000030930000209300009093000080930000909300008093000089ef9fef90930000809300008091000090e0909300008093000010920000',avr
b'1fe116320b89e361c8711e51e362c8722f521b6123631d43336103a00900e361c8711f515a410df11df15a00087ee36ff66e0b000900862fe62ff87ff36ee361',sh4
b'7606b6826dde70e523c000000000203cd3aeb590241f261f4e5e4e754e5600004ebaff9420390000000023c00000000023f9000000000000000023f900000000',m68k
b'0000001000000000017a5200017c0e011b0c0f60000000140000001800000000000000ac00448b0d8c0c8d0b10005820c0005840b000a708ffff500040005840',s390
b'b0bd30c02000b90cc100000c0b890ab90cc60a000000c020008809c02000b8080c189c4b890ac0200088090c89c0200099080c289100004605001bddd90cbd08',xtensa
b'9fe5081093e5010052e10020a0d30120a0c30c1093e5502201e00c2083e50120a0e300208ce50000d3e50cd08de204e09de41eff2fe150a9561c000000001040',arm
b'000000000000000000000000000043c743c743c743c743c743c70100a770ffffabff9c81892b01f0109200001092000000c0019600c080e090e08230910504f0',avr
b'00e219d12221017002e11730df8b9262f6e12b21122900e214d10aa0222100e50dd112d00b401066021f0fd22261017112220dd1126218e11732f08d83640cd1',sh4
b'017a5200017c0e011b0c0f600000002800000018000000000000014800448b0d8c0c8d0b8e0a8f09460ec00102f2cfcecdcccb0e600000001000583030005030',s390
b'fcff3fec38e81f2200007da700405b6b0000ba270000bd2338e89f221304ff47b203e0431104f4471004f44700007da700405b6b0000ba270000bd2300005d24',alphaev56
b'c600288fc500248fc400200c0000000000000010000003000000008fc300248fc2002003c0e8218fbf001c8fbe001827bd002003e000080000000027bdfff8af',mips
b'0000009200000000730e10025e0e0884c956741166890500000000c70500000000f8ffffff8b050000000031f6bf000000008905000000000fb70500000000c7',x86_64
b'7a5200017c0e011b0c0f600000002000000018000000000000013000448d0b8e0a8f09460ec00102f0cfcecd0e6000205a567ab5fe41cdffffffffb5fe41cd20',s390
b'000023c10000000052804a806fec428030390000000023c00000000023fc0000fff6000000004280601022300db00000000023c10000000052807202b2806cea',m68k
b'f7d8890500000000eb1d0fb6050000000084c07407b801000000eb05b8000000002105000000000fb6050000000083e802880500000000803d00000000ec7c9c',x86_64
b'0000ff0042307000422c2f0040141000a9241000a2900000023c020043940000073c01006324020043a40000033c080060ac1000a3900c0080ac0800e0ac2130',mipsel
b'423c0200003c0700008c490010aced003c3084002f3c0200003c07a25d24ac0008944a0038aca40008acc0004024e70016240600183c050000000318c3ad6c00',mips
b'20d2e534009fe534309fe5002081e5000081e504c093e50020a0e30030a0e320009fe500c081e5feffffeb1040bde80000a0e31eff2fe1000000000000000083',arm
b'1000a7480000a7f400291814891000011a13891000011a12891000025850d146585150005810d15250501000a72a0001a7f40004a7280000a72e0001a7c4ffe7',s390
b'0000538066f0538170d0b08166c2700a23c00000000013fcffed0000000070f123c00000000020390000000023c00000000070f123c00000000070ed23c00000',m68k
b'008c0f890d510000a90ec0200088050b995808909074b055305908f802c02000581c0bfff902d68ffc460300000c1f0b888080f45658ff86f1ff2100000c0548',xtensa
b'010280000000ff7a014c40580520054c40400466262039000000002679000000002f032f390000000042a74e922f0842a742a74e9226884fef00182039000000',m68k
b'00000001000000fcfffffffaffffffa039a474f5ffffcaff0001e208d08de21eff2fe10000000004309fe5bc00d3e11eff2fe100000000f0402de90cd04de200',arm
b'b01104ff47080062a000001022000065280300e373000061b0000064a00300e343000061b0040062a00300e343000061b0080062a00300e343000061b00c0062',alphaev56
b'07e722d122d27221222122d3222122d63221622132217221722120d422214221622142217221222122213221622100e61bd2322122621bd022211bd2522100e5',sh4
b'203880000181690020214abede806900087ce73910908900143947000180e900247d473a783d400000916a00003960bede916a000090e9002481690004a92900',powerpc
b'0000906900003d200000392900008129000c57c9083c7d2900d07f9d4800419c009c57a7063e3d400000394a0000814a000c2f8a0000419e000c392000014800',powerpc
b'006093e5045093e5084093e510c0d3e5042081e5046081e5045081e5044081e504e081e504c081e502c0a0e3b421d3e1204093e50228a0e14228a0e1042081e5',arm
b'000061b00900a22c0c00822c09006220c504a348430d83480304a344000061b00d00a22c1000822c0d006220c504a348430d83480304a344000061b01100a22c',alphaev56
b'80910000909100008081918180779d7a91838083809100009091000080e090e020e030e08033910500f0e0910000f091000031832083049600c0909300008093',avr
b'000000017a5200017c0e011b0c0f600000002000000018000000000000004800448d0b8e0a8f09460ec0016acfcecd0e60000000000000000000003dd33a4a00',s390
b'3c0200008c42000027bdffe0afbf001cac4000003c0200008c4300043c0400000000382100003021248400003c020000ac4300000c000000000000008fbf001c',mips
b'002908910000c020009908c0200029080c29c020009908c020009908c020009908910000c020009809c020009908910000c020009908910000c020009908c020',xtensa
b'011b0c0f600000002000000018000000000000007400448d0b8e0a8f09460ec001024ecfcecd0e60003000501030005810d05a5820d056a73800000de15840f0',s390
b'3661007d01290739173807281720333048072817204430210000204410280720443028172044c02817202430202310969200380728172023c046000028071df0',xtensa
b'9a4030058043b840670870010802000066084a8356c049c04480444048c06c025e80e680448078004604c08452827a02ba8266a023c00000000033c100000000',m68k
b'05000000001b000000890d00000000c70500000000f7ffffffc705000000005e8bf23ec70500000000ffffffffc70500000000f7ffffffc70500000000f7ffff',x86_64
b'224f222300e510d100e610d3126132630fd032210fd112930fd43221222101e22221222108e222210a9222210bd2222122210b40090000e0264f0b00090088c5',sh4
